for others is likened	0	100.0	129.0	158.0	2.5	0.01	21.0	-79.0757236105	-123.262778006
anne clasped each girl	0.0833333333333	100	129	158	1.0	0.01	21	-89.224407677	-150.027663781
chapter page all night	0.0769230769231	603.0	496.0	555.0	1.0	37.49	5.16	-90.1585289087	-146.312684861
go back don't forget america	0.142857142857	100	129	158	1.0	277.06	5.31	-126.034085231	-185.546860414
gray brother do for all	0.0769230769231	564.5	528.0	565.0	1.5	152.53	4.685	-90.705308517	-153.976682509
anyone stop to consider this	0.1	563.0	129	288.0	2.0	255.25	5.36	-123.300147853	-179.055050557
root cause of all	0.0909090909091	555.5	422.5	423.5	1.0	160.255	5.89	-61.8390991019	-107.555128361
gives us most precious stones	0.0833333333333	306.5	129.0	291.0	2.0	11.68	14.285	-126.869474804	-194.720573513
race is capable of such actions	0.0833333333333	543.0	129	315.0	2.0	20.82	9.16	-131.574904107	-199.012768179
find out what is likely	0.25	340.0	240.0	264.0	2.0	428.36	6.055	-90.2323477721	-137.5341102
a satellite to collect temperature	0.0801282051282	100	129	158	3.0	15.65	6.17	-135.40338556	-191.513155149
please excuse my dear aunt sally	0.0833333333333	536.0	316.0	310.0	1.0	223.43	5.55	-129.390413203	-203.842987278
unless porsche was gonna sue me	0	100.0	129.0	158.0	1.5	71.53	9.11	-122.688727529	-202.788409071
fierce and cruel enemies	0.0	100	129	158	1.0	4.78	9.04	-100.219263022	-159.959108921
everyone go by dark forest	0.142857142857	555.5	417.0	475.0	1.5	165.13	4.285	-126.918283545	-195.037556575
my hair stood on end	0.0909090909091	575.0	320.0	462.0	1.0	153.55	4.28	-81.2451241749	-140.293998577
poor eddie mostly does abysmally scholastically	0	100	129	158	2.0	0.01	21	-632.29699659	-722.263380407
it is real it can be experienced	0.2	348.0	207.0	235.5	2.5	221.405	12.975	-135.569031084	-201.02441791
we are currently evaluating gui	0.0714285714286	100	129	158	3.0	0.01	21	-472.123608539	-526.176912655
figure out i'm liberal	0.0	100	129	158	2.0	3.98	11.17	-106.170792277	-154.595666297
far off into lengths	0.0	343.5	215.5	284.5	1.0	110.385	12.94	-102.020107212	-153.312467405
early go by dark forest	0.166666666667	586.5	417.0	481.0	1.5	98.325	4.525	-105.559465007	-174.9394332
his successor made the exact opposite	0.125	100.0	129.0	158.0	2.5	8.435	10.2	-159.613927318	-228.918981794
as a result i cannot easily	0	100	129	158	2.0	19.76	8.22	-120.095866086	-178.763010692
any claim that their engine is as good	0	543.0	331.0	374.0	1.0	31.88	6.28	-142.440429279	-226.343602154
my hands on that explains this stuff	0.0833333333333	100	129	158	1.0	0.01	21	-147.870435825	-222.693228244
facts are clearly enough	0.0	100	129	158	2.0	0.01	21	-99.8877002287	-149.708522408
list to cut down mail	0.0909090909091	554.0	430.0	460.0	1.0	80.59	4.65	-88.7564160991	-148.071935984
regulation in a capitalist economy	0.0769230769231	504.0	284.0	345.0	4.0	2.47	12.56	-167.260157453	-227.411663967
reducing crime or any	0.0769230769231	318.5	258.0	314.5	2.0	35.625	14.335	-89.7702674368	-137.882867745
pull extra mules during arabian sand	0.0769230769231	519.0	262.0	337.0	2.0	20.29	6.11	-174.755907841	-265.155562442
goose boy didn't fly away	0.0909090909091	537.0	257.0	272.0	1.0	85.0	5.07	-112.07559159	-185.618796848
not even sure it will	0.0	564.0	282.0	311.5	1.5	987.87	5.61	-87.1717061561	-135.46923724
fight a speeding ticket	0.0909090909091	561.0	455.0	543.0	2.0	45.57	5.47	-81.0317036654	-131.570938427
focus of america's science and technology	0.0833333333333	100.0	129.0	158.0	3.0	22.165	8.69	-180.157777935	-252.484160258
for at&t's secure telephone	0.0769230769231	507.0	129	373.0	2.0	24.33	8.42	-360.449525006	-409.858901022
resolve every case every one	0.0714285714286	597.0	264.0	267.0	2.0	549.16	4.2	-124.226065927	-191.02435647
fly away cried epimetheus	0.166666666667	318.5	193.0	215.0	1.5	42.505	13.035	-335.610062907	-394.292699614
even am deeply grateful beyond expression	0	100	129	158	2.0	26.57	6.94	-187.547210069	-268.317739017
finding a certain evening	0.142857142857	100	129	158	2.0	85.37	8.2	-94.9074115564	-143.323869143
christmas present at night	0.0833333333333	611.0	432.0	607.0	2.0	122.43	4.35	-104.100088942	-156.363418475
algorithm is secure and contains no trapdoors	0.166666666667	100.0	129.0	158.0	2.0	0.27	17.78	-638.115483686	-722.627609198
